date,gdp_billions,unemployment_rate,inflation_rate,interest_rate,consumer_confidence
2010-01-31,15089.873871464444,7.993865297099928,1.7523508409622466,2.2397429723512694,98.97193721775895
2010-02-28,15103.36852272118,7.975021892990991,1.903584247504102,2.3051498464941216,97.85761461977158
2010-03-31,15212.223894232508,7.952784032250353,2.1238794362826874,2.2630424303044525,93.63507953561812
2010-04-30,15429.535266167835,7.932388775126217,1.8308826341588076,2.1544036921280734,91.30162947284549
2010-05-31,15431.491438668596,7.930461232390864,1.7533338813300705,2.519408651177931,87.969901936448
2010-06-30,15433.449886237959,7.93899003176128,2.073106163447574,2.167619953435585,93.22671326671887
2010-07-31,15660.95899108908,7.945907301744531,2.073489971332617,2.6081827303119356,96.03374844616125
2010-08-31,15788.951207915265,7.966586882970431,1.847917047388661,2.4799047562203453,99.84841373114374
2010-09-30,15761.253367929257,7.966911930267379,1.8586885083145033,2.404420781253436,102.01342992327343
2010-10-31,15861.504770346675,8.003250282196312,2.069614981207291,2.1369745351833607,98.62627460962175
2010-11-30,15834.446869437692,7.996633861365363,1.5655746975508027,2.2692914677726668,97.05271381078244
2010-12-31,15807.142746892834,8.064638090530103,1.5777608676870334,2.8021564903303027,98.52083749446618
2011-01-31,15869.477474589345,8.080279774224229,1.7844667336242692,2.7003668750497525,94.85445406779034
2011-02-28,15659.713050662858,8.058850835313821,1.9359658544864458,2.1089779020805794,96.99344935830752
2011-03-31,15476.02456327821,8.032078522862294,2.0932722696794013,2.5397329221716904,96.27247316383311
2011-04-30,15437.409064131672,8.044140333243373,2.4426068650848656,2.800554849348716,95.14801074118431
2011-05-31,15343.486854348042,8.038553763610228,2.2572978869606057,1.8322378875514511,97.28089064579478
2011-06-30,15412.90358153328,8.05640377596253,1.9520184410109718,2.717344076951974,98.6136805802529
2011-07-31,15331.98027330787,8.068234716576868,1.9942951376291933,2.2349504964216615,97.53078208279567
2011-08-31,15190.077691942352,8.066413993760447,1.6992411906086573,2.728239467437264,101.00877149288841
2011-09-30,15400.001724851014,8.045244150808736,1.994446059202283,2.194696337382993,97.76558151008872
2011-10-31,15402.98637415298,8.00737297019159,1.9134024083239585,1.7780471597341925,99.61338833092151
2011-11-30,15442.163172922545,7.996210096389914,2.0968155681014267,1.848983024846735,101.39269210482666
2011-12-31,15297.717758590034,8.017620066248002,1.751830716934303,2.519233978664553,100.4640527868847
2012-01-31,15261.733077633258,8.022972409851256,2.1558039542723515,2.603889000688593,101.44245185361105
2012-02-29,15305.863190999908,7.991828940383456,2.459821673900773,2.1382733499582365,97.68911112445514
2012-03-31,15195.935966371742,7.996158463529736,1.9673719554629427,2.7554369835109496,100.46119218207583
2012-04-30,15272.191194300245,8.005791398022957,2.1205135166296825,1.8353919750924161,99.90648577274688
2012-05-31,15229.411054939641,7.983694962117928,2.2070431975133338,2.4735680805410736,98.33831671118975
2012-06-30,15224.33213199191,7.987538089766566,1.8796338584342491,2.0155935200950172,101.48534438870043
2012-07-31,15181.55635208971,7.988993307727717,2.067227744543125,2.239265556879136,99.37231331707214
2012-08-31,15439.042349488403,7.960419050281951,2.0037777202345386,2.5189594685265657,95.14692942798146
2012-09-30,15468.28101176959,7.969363734290658,2.0293028295646494,2.1558346538864193,90.47704190740976
2012-10-31,15368.652047035075,7.983383347449864,1.76809706484336,2.34617778230807,92.29507176144668
2012-11-30,15501.087964864244,8.010459628529246,2.007353052277683,2.9025171236857763,88.45378370395782
2012-12-31,15381.161225625658,8.03680467983012,2.149399487373635,2.2692432521907406,93.71816624991092
2013-01-31,15437.727827002365,8.00236294563119,2.4353430823385125,2.8342768448260567,87.47237802625975
2013-02-28,15228.017859293945,7.978917319633314,2.287781247825562,2.0481172581369527,92.56174713112986
2013-03-31,15097.233617856882,7.99179320131353,2.645954737253467,2.711921671166113,93.19479953273772
2013-04-30,15151.301150795503,8.004637850086334,1.7697957311335852,3.07662744826316,92.90466019712655
2013-05-31,15271.588562971872,8.017514042243986,2.2616961910162034,1.5113421999490844,91.2699029366997
2013-06-30,15323.155132398904,8.113832329510354,2.0550026017215055,2.1812418978118093,92.4673112797559
